experiment_id,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,avg_time,max_time,name,risk_nodes,source_nodes,agents_per_source,random_seed
12,14,Efficient,Low,33,0.0,0.0,0.0196969696969697,2.1515151515151514,15.462857142857157,18.570000000000018,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,65,Centrality,High,30,0.0,0.0,0.0035000000000000005,6.733333333333333,35.84307692307696,44.01000000000004,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,65,Centrality,Low,30,0.0,0.0,0.0035000000000000005,6.733333333333333,35.84307692307696,44.01000000000004,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,65,Efficient,High,30,0.0,0.0,0.0035000000000000005,6.733333333333333,35.84307692307696,44.01000000000004,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,65,Efficient,Low,33,0.021187284937284938,0.004916777541391989,0.0196969696969697,6.606060606060606,39.955384615384645,48.12000000000005,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
11,14,Centrality,High,25,0.04795656565656566,0.004401251537743962,0.09060000000000004,3.72,22.75285714285716,27.330000000000027,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,14,Centrality,Low,25,0.07638802308802309,0.01196454632857122,0.08820000000000003,3.84,22.688571428571453,26.790000000000028,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,14,Efficient,High,25,0.04795656565656566,0.004401251537743962,0.09060000000000004,3.72,22.75285714285716,27.330000000000027,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,14,Efficient,Low,25,0.10001209901209901,0.013319472796551386,0.09420000000000003,5.28,28.761428571428603,32.820000000000036,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,69,Centrality,High,25,0.045363492063492064,0.0037983405769715295,0.09060000000000004,3.68,28.922307692307722,36.99000000000004,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,69,Centrality,Low,25,0.055549206349206355,0.011256668808264045,0.08820000000000003,3.68,29.0769230769231,37.26000000000003,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,69,Efficient,High,25,0.045363492063492064,0.0037983405769715295,0.09060000000000004,3.68,28.922307692307722,36.99000000000004,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,69,Efficient,Low,25,0.045363492063492064,0.0037983405769715295,0.09420000000000003,3.68,28.35230769230771,36.570000000000036,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
